protein1,protein2,weight
HEATR1,WDR33,0.238
GRIN2B,PHKA2,0.238
MYL2,KCNE3,0.238
NAT10,CDC20,0.238
RPL38,UQCR11,0.238
EIF2B1,RPL9,0.238
TAF1B,MYC,0.238
NAT10,EP300,0.238
H3C12,RPS19,0.238
RPL26,COX6B1,0.238
LY96,MYC,0.238
RPL26,APAF1,0.238
H3C12,ZWILCH,0.238
LEO1,SMG5,0.238
EIF2B1,SUPT7L,0.238
KMT2A,MTOR,0.238
EIF2B1,PSMB3,0.238
H3C12,PYCARD,0.238
KMT2A,SF3A1,0.238
H3C12,SEC13,0.238
H3C12,MAP3K7,0.238
RPL32,GABARAP,0.238
GABARAP,RPL32,0.238
UTP20,XPOT,0.238
RYR2,IL1B,0.238
APP,PSMB8,0.238
GABARAP,EEF2,0.238
APP,REL,0.238
WDR3,SF3A3,0.238
ARHGEF1,PXN,0.238
HSPA8,ACTL6A,0.238
TAF1,E2F2,0.238
ARHGEF1,RHOT1,0.238
CDC6,CENPO,0.238
GABARAP,RPS18,0.238
TAF1,DCAF1,0.238
TONSL,RPN2,0.238
SELP,HSPA4,0.238
GABARAP,LAMTOR1,0.238
EGFR,EIF3H,0.238
SNRNP200,UMPS,0.238
GNA12,IKBKG,0.238
HSPA8,BTRC,0.238
RMI1,RPAP3,0.237
CTR9,GTF2F2,0.237
NUP43,RYR1,0.237
NUP43,PSMB7,0.237
CXCL5,ITGAE,0.237
IRAK1,RHEB,0.237
CXCL5,ITGAV,0.237
IRAK1,NOS3,0.237
APP,IL20RB,0.237
CXCL5,IFNAR1,0.237
CENPT,IL17RB,0.237
SELP,ITGB7,0.237
GRB2,GABARAP,0.237
NCBP1,FAAP100,0.237
HAUS3,TONSL,0.237
HAUS3,FANCD2,0.237
RIPK3,TIMM50,0.237
GABARAP,GRB2,0.237
KAT5,SKP1,0.237
NCL,KIT,0.237
MT-CO3,RPL12,0.237
IFNGR2,TLR5,0.237
XPO1,PDS5B,0.237
IFNGR2,NDUFS7,0.237
XPO1,RPS27,0.237
ARHGEF1,RRAGD,0.237
DHX16,RPL11,0.237
CDKN1A,MTA1,0.237
MLST8,WDR82,0.237
UBE2V1,ADRM1,0.237
FLT4,RPL5,0.237
CDKN1A,TLR2,0.237
RNF7,NDUFAB1,0.237
TSR2,POLR3G,0.237
GPI,TOMM40,0.237
PRR5,EGFR,0.237
NELFCD,CYC1,0.237
RNF7,MYC,0.237
WDR3,SF3B3,0.237
RIPK3,MALT1,0.237
FLT4,FASLG,0.237
IFNG,FGFR2,0.237
CPSF3,PSMD14,0.237
BLOC1S4,VPS18,0.237
DICER1,PLRG1,0.237
MVK,TERF1,0.237
TRAPPC2L,GTF2F2,0.237
CCND2,KDM6A,0.237
PRPF4,WDR75,0.237
PRPF4,FBL,0.237
TNFRSF1B,RUNX1,0.237
CPSF3,POLR2K,0.237
CPSF3,SF3B3,0.237
RUVBL2,EIF2B2,0.237
POLR2L,UQCRFS1,0.237
TNFRSF1B,CD1D,0.237
RPS27,XPO1,0.237
BAIAP2,INTS2,0.237
SF3A2,RAN,0.237
RUVBL2,GTF2F1,0.237
RPL26,PPP2R1A,0.237
RPL26,NDUFB8,0.237
LMO2,SIN3A,0.237
NOP58,WDR33,0.237
CPSF1,METTL3,0.237
SNRNP200,CCAR2,0.237
MAP3K3,STAT3,0.237
CSTF2,METTL3,0.237
TAF7,IL20RA,0.237
MAP3K3,CDK1,0.237
H3C12,RICTOR,0.237
LY96,PSMB8,0.237
EIF2B1,NDUFAB1,0.237
PIGQ,IL17RB,0.237
HLA-E,CD1B,0.237
H3C12,RPL27A,0.237
HSP90AB1,RPL35,0.237
RFC4,H3-4,0.237
DICER1,CDH5,0.237
ACTG1,STAT1,0.237
SEMA4D,CRK,0.237
POLR2D,PSMD14,0.237
RFC4,PSMA2,0.237
CARD10,POLR3C,0.237
CARD10,NPM1,0.237
CARD10,NDUFAB1,0.237
TONSL,HAUS3,0.237
CARD10,PALB2,0.237
RFC4,H3-5,0.237
VPS8,EXOC8,0.237
HSP90AB1,RPA2,0.237
POLR2K,CPSF3,0.237
SELPLG,H3C13,0.237
POLR3C,CARD10,0.237
TAF13,NDUFV3,0.237
NUP98,SUZ12,0.237
POLR3C,HAUS2,0.237
SELPLG,H3-3B,0.237
SELPLG,H3-2,0.237
KRR1,EIF2B5,0.237
KRR1,RPL19,0.237
SNRPE,SKP1,0.237
HSPD1,RPS29,0.237
POLR3C,DKC1,0.237
CNOT8,CDKN1B,0.237
MRPS5,DDX23,0.237
HSPA8,CAMK2A,0.237
RPS5,POLR3K,0.237
FGF6,ITGB3,0.237
BACE1,NANOG,0.237
WDR82,TERF2IP,0.237
INTS13,DCAF13,0.237
IL23A,MALT1,0.237
TLN1,TTC37,0.237
HBEGF,NOS3,0.237
POLR3C,DLG4,0.237
RPS3,PALB2,0.237
RPS3,NDUFB11,0.237
RPS5,RAD51,0.237
WDR82,MLST8,0.237
DDX6,PWP2,0.237
FOXP3,CDC42,0.237
HDAC2,RBX1,0.237
MT-CO2,RPL5,0.237
SELPLG,H3-5,0.237
PDS5B,XPO1,0.237
SNRPC,FIP1L1,0.237
HLA-G,CD1C,0.237
TLR4,TNFSF18,0.237
SNRPC,ISY1-RAB43,0.237
GART,ECI1,0.237
PDS5B,MYD88,0.237
IL26,CXCL11,0.237
PDS5B,AHCTF1,0.237
TLR4,IGF2,0.237
CXCL11,IL26,0.237
H3-3B,SELPLG,0.237
FOXP3,RHEB,0.237
SF3B1,NOTCH1,0.237
SNRPE,PSMD14,0.237
SNRPE,TIMM17A,0.237
TLR4,RHEB,0.237
CDK6,MUS81,0.237
GART,WDR46,0.237
FOXP3,TAPBP,0.237
RPTOR,JAK2,0.237
TLR4,HFE,0.237
SUFU,TNF,0.237
SUFU,POU5F1,0.237
SUFU,KMT2C,0.237
SF3B1,HSP90AA1,0.237
DICER1,CAMK2A,0.237
RAD51,RPS5,0.237
LAMTOR1,MRPS35,0.237
H3-3B,NXF1,0.237
AAR2,TIMM50,0.237
AAR2,SNRPB2,0.237
CALM3,PRKAB1,0.237
RPL23A,GRPEL1,0.237
TIRAP,CSF1,0.237
RHEB,TLR4,0.237
DICER1,EPHA2,0.237
WDR26,NOTCH3,0.237
RELA,AIM2,0.237
EGFR,SCGB2A2,0.237
EGFR,PRR5,0.237
ITGAV,CXCL5,0.237
RHEB,WASL,0.237
VIP,STAT3,0.237
RHEB,FOXP3,0.237
RHEB,IRAK1,0.237
ADRM1,UBE2V1,0.237
RHEB,CUL3,0.237
NOTCH1,SF3B1,0.237
ADRM1,SEC13,0.237
HMGCR,MAP2K5,0.237
TAF6,WAPL,0.237
RPL10A,DDX23,0.237
CD1D,TNFRSF1B,0.237
DICER1,ZWILCH,0.237
COX6C,HADHA,0.237
WDR12,PRPF8,0.237
WRN,IGF2,0.237
RPA2,RPS9,0.237
CDKN3,FBL,0.237
RAE1,SRRT,0.237
RPA2,HSP90AB1,0.237
KMT2C,RB1,0.237
KMT2C,SUFU,0.237
RAE1,DDX23,0.237
RNPS1,CDC5L,0.237
PSMA4,RPL29,0.237
GNB3,CLCNKB,0.237
CD1D,NFKBIA,0.237
PSMB1,RANBP2,0.237
PSMB1,EIF4A3,0.237
ELOC,CREBBP,0.237
RBBP5,SUPT5H,0.237
RPS28,PSMD12,0.237
RAD23B,NOL6,0.237
WASL,RHEB,0.237
CALM3,CRK,0.237
VTN,SMU1,0.237
RYR2,FN1,0.237
BMP7,FOXO3,0.237
CUL4B,KAT2A,0.237
EIF2B4,UMPS,0.237
WASL,SNX5,0.237
XRN2,RANBP2,0.237
SF3B2,PSMD7,0.237
TAPBP,FOXP3,0.237
EIF2B4,MCU,0.237
MYC,RNF7,0.237
HADHB,PSMA3,0.237
SF3B2,WDR46,0.237
VTN,WDR33,0.237
NDUFS8,RPL18A,0.237
SF3B2,PSMD11,0.237
HCFC1,EFTUD2,0.237
SF3B2,RTF1,0.237
RPSA,POT1,0.237
RPSA,ACD,0.237
EIF3E,UTP18,0.237
EIF3E,TSEN54,0.237
STAT2,IGF1,0.237
TIMM17A,SNRPE,0.237
FGFR2,IFNG,0.237
NDUFAB1,DLG4,0.237
NDUFAB1,EIF2B1,0.237
RPSA,CDK4,0.237
STAT2,IL6ST,0.237
RPSA,GRPEL1,0.237
STAT2,E2F1,0.237
EZH1,CTNNB1,0.237
CYC1,NELFCD,0.237
SHMT1,MRPS9,0.237
RPL12,MT-CO3,0.237
H3-5,RFC4,0.237
POLR3G,TSR2,0.237
CDK4,SETD1A,0.237
USP5,HSPA4,0.237
NDUFA8,MRPS15,0.237
FAS,EIF2S1,0.237
MRPS10,PSMA7,0.237
AVPR1A,CLOCK,0.237
INTS9,YEATS4,0.237
CX3CR1,APOB,0.237
GNG2,RRP7A,0.237
TOMM40,GPI,0.237
H3-5,SELPLG,0.237
TUBA1A,PRKAG2,0.237
G3BP1,RPL14,0.237
SNU13,SEH1L,0.237
NDUFAB1,CARD10,0.237
APOA1,ERBB2,0.237
APOA1,RPLP0,0.237
PRKAB1,CALM3,0.237
CDK4,RPSA,0.237
ZCCHC8,PSMD13,0.237
H3-5,CCAR2,0.237
SNX1,CDC42,0.237
NUP214,ZC3H13,0.237
NUP54,SUPT4H1,0.237
NOC4L,TBP,0.237
GCLM,PSMB6,0.237
NUP54,RPS16,0.237
KPNA1,GATAD2B,0.237
ZC3H13,SIN3A,0.237
NDUFAB1,RNF7,0.237
SALL4,MTF2,0.237
ZC3H13,NUP214,0.237
NDUFAB1,CARD11,0.237
CDK4,COL1A2,0.237
H3-5,TOP3A,0.237
BMP4,AVPR2,0.237
H3-5,RSPO1,0.237
SMC3,HAT1,0.237
UBC,ACTR3,0.237
UBC,UBL5,0.237
TOMM22,SNAPIN,0.237
CARD9,ITGAE,0.237
HSP90AA1,IGFBP3,0.237
PPIL1,RPS16,0.237
VAMP3,TNF,0.237
VAMP3,EIF2B2,0.237
DLD,ECI2,0.237
CYC1,EMC8,0.237
JAK2,RPTOR,0.237
NDUFB8,RBX1,0.237
RPL36A,INO80B,0.237
BABAM1,RFC2,0.237
MTHFD1,CTNNB1,0.237
TPI1,POT1,0.237
FANCD2,HAUS3,0.237
NDUFA5,UCHL5,0.237
NDUFB8,RPL26,0.237
MTA1,MTF2,0.237
NUP88,PSMA3,0.237
DLD,ACTB,0.237
DSN1,CDK2,0.237
TERF2IP,WDR82,0.237
CDC73,RAD17,0.237
MTA1,CDKN1A,0.237
APOE,TLR5,0.237
APOE,CREBBP,0.237
MYD88,APOB,0.237
CDC73,DMAP1,0.237
MYD88,PDS5B,0.237
RFC2,BABAM1,0.237
NUP85,PSMA5,0.237
UCHL5,NDUFA5,0.237
APOE,CAMK2A,0.237
REL,IFNAR2,0.237
NANOG,HIF3A,0.237
NANOG,BACE1,0.237
NANOG,APOB,0.237
HIF3A,NANOG,0.237
PSMA5,NUP85,0.237
CENPN,E2F1,0.237
RPL38,NDUFA13,0.237
CHTF18,SKIV2L,0.237
PDHB,PSMA6,0.237
TRAF3,EGF,0.237
FGF6,IL21,0.237
PLK4,PARP1,0.237
STAT3,MAP3K3,0.237
CCR6,EEF2,0.237
IFNAR2,REL,0.237
NANOG,TGFA,0.237
SELL,TNFSF14,0.237
ERCC2,MTOR,0.237
SNX5,WASL,0.237
EIF2S1,FAS,0.237
STAT3,RBX1,0.237
TGFA,NANOG,0.237
VPS35,RABEP1,0.237
VPS18,BLOC1S4,0.237
IL24,TNFSF14,0.237
TOMM70,EIF2S1,0.237
TOMM70,TSEN54,0.237
PTCD3,SNRPG,0.237
VASP,PAK4,0.237
RPS29,HSPD1,0.237
SF3B3,CPSF3,0.237
RPS11,NDUFB9,0.237
SYMPK,H3-4,0.237
EIF2S1,TOMM70,0.237
RPS11,SNRPB,0.237
SF3B3,WDR3,0.237
STAT3,VIP,0.237
PSMA2,RFC4,0.237
PSMA2,EFTUD2,0.237
TRAF3,CD70,0.237
KDM1A,CCAR2,0.237
CDC5L,RNPS1,0.237
CREBBP,ELOC,0.237
CREBBP,APOE,0.237
STAT3,SLC3A2,0.237
PSMB6,GCLM,0.237
HDAC1,CCL5,0.237
MKNK1,TNF,0.237
HDAC1,MTF2,0.237
HDAC1,VPS72,0.237
ROBO2,SOX2,0.237
CCL5,BRCA1,0.237
CCL5,TRADD,0.237
TRAF6,RPS14,0.237
SLC3A2,STAT3,0.237
SLC3A2,RACK1,0.237
TRAF6,CD27,0.237
TIMM44,NDUFV1,0.237
HSP90AA1,SF3B1,0.237
UBN1,BDP1,0.237
SKP1,MAX,0.237
MALT1,IL23A,0.237
MRPS35,RPS8,0.237
GRPEL1,RPL23A,0.237
CCL5,HDAC1,0.237
MRPS35,LAMTOR1,0.237
KMT2A,STUB1,0.237
MTREX,WDR33,0.237
MALT1,RIPK3,0.237
MRPS35,NUP37,0.237
IL17RC,FN1,0.237
AKT1S1,ILK,0.237
GRPEL1,RPSA,0.237
SEH1L,SNU13,0.237
NDUFB9,RPS11,0.237
KDM6A,CCND2,0.237
SNRPB2,AAR2,0.237
NDUFS4,HSPA9,0.237
HAUS2,POLR3C,0.237
TTC37,TLN1,0.237
TTC37,HMGCR,0.237
HFE,TLR4,0.237
EPHA2,DICER1,0.237
ACTR2,ILK,0.237
NDUFB9,HSPA9,0.237
FOXO3,BMP7,0.237
RNF8,EZH2,0.237
MTOR,SDC1,0.237
CCAR2,SNRNP200,0.237
IL21,FGF6,0.237
CNOT11,EFTUD2,0.237
B2M,CX3CL1,0.237
CCAR2,H3-2,0.237
NDUFS6,TOMM5,0.237
MTOR,ERCC2,0.237
CCAR2,KDM1A,0.237
SCGB2A2,EGFR,0.237
CLOCK,AVPR1A,0.237
RPS9,RPA2,0.237
CCAR2,H3-5,0.237
TOMM7,EMC6,0.237
B2M,UQCRC2,0.237
SKP1,SNRPE,0.237
NOTCH3,WDR26,0.237
MAGOH,STIP1,0.237
RACK1,ACTC1,0.237
RACK1,SLC3A2,0.237
RACK1,PRPF19,0.237
NOL6,RAD23B,0.237
HLA-B,RPL5,0.237
DLG4,POLR3C,0.237
HLA-B,CD70,0.237
SKP1,KAT5,0.237
CD1A,HLA-A,0.237
DLG4,NDUFAB1,0.237
POLR2H,PRPF19,0.237
IFNAR1,RUNX1,0.237
IFNAR1,CXCL5,0.237
DLG4,PALB2,0.237
TNFSF18,TLR4,0.237
DCP1A,USP10,0.237
HSPA4,SUPT4H1,0.237
SUPT5H,RBBP5,0.237
PSMA7,MRPS10,0.237
TAL1,E2F2,0.237
SNAP25,GNG13,0.237
DXO,GTPBP4,0.237
RPLP0,APOA1,0.237
PSMA7,DAD1,0.237
POLR2H,SNRPN,0.237
HSPA4,USP5,0.237
SKP2,KIT,0.237
RICTOR,H3C12,0.237
DDX23,MRPS5,0.237
DDX23,RAE1,0.237
RAD17,CDC73,0.237
NXF1,H3-3B,0.237
RAD17,PRPF19,0.237
NDUFA2,LAMTOR2,0.237
GTF2F1,FIP1L1,0.237
GTF2F1,USP10,0.237
LRP5,VCL,0.237
DDX23,RPL10A,0.237
KCNE1,PLXNB1,0.237
GLDC,INO80B,0.237
PRPF8,RPS8,0.237
ACTB,DLD,0.237
GTF2F1,RUVBL2,0.237
ACTB,ECI1,0.237
PDHX,NUP188,0.237
FASLG,IGFBP3,0.237
FASLG,FLT4,0.237
CDC42,TRAPPC1,0.237
NOTCH4,FGFR1,0.237
PGK1,RPL37A,0.237
TNFRSF18,NFKBIA,0.237
COX5A,RPL5,0.237
TNFRSF18,TLR8,0.237
RPL29,PSMA4,0.237
CDC42,NDUFS1,0.237
DENND1B,IL17RB,0.237
PGK1,PSMB5,0.237
BUD13,UPF2,0.237
PGK1,COL1A2,0.237
PDHX,EIF2B3,0.237
UPF1,SOX2,0.237
PARP1,PLK4,0.237
WDR46,GART,0.237
CALML3,IL3,0.237
CDC42,FOXP3,0.237
SUZ12,NUP98,0.237
PRPF8,RPS3A,0.237
HAT1,SMC3,0.237
WDR46,SF3B2,0.237
WDR33,NOP58,0.237
CDC42,SNX1,0.237
PWP2,DDX6,0.237
RPS16,PPIL1,0.237
RPS16,NUP54,0.237
PWP2,TSEN54,0.237
H3-2,RSPO1,0.237
HMGCR,TTC37,0.237
ACTB,PRPF19,0.237
MAPK1,CCM2,0.237
PSMA3,NUP88,0.237
IGF2,TLR4,0.237
PRPF8,WDR12,0.237
PSMA3,HADHB,0.237
IRAK4,JAK1,0.237
TGFBRAP1,LAMTOR2,0.237
IGF2,WRN,0.237
NOG,CDH5,0.237
WDR33,MTREX,0.237
IRAK4,ITGB2,0.237
TLR3,KLRG1,0.237
RPL14,G3BP1,0.237
ERBB2,XRCC3,0.237
IL6ST,STAT2,0.237
ERCC3,CASP3,0.237
ERBB2,APOA1,0.237
TERF1,MVK,0.237
ERBB2,AVP,0.237
PTK2,LUM,0.237
IL10RA,UNC93B1,0.237
EIF4A3,PSMB1,0.237
TMEM258,POMP,0.237
WDR33,AFF4,0.237
WDR33,VTN,0.237
MUS81,CDK6,0.237
EFTUD2,PSMA2,0.237
EFTUD2,HCFC1,0.237
SETD1A,CDK4,0.237
H3-2,CCAR2,0.237
FBL,CDKN3,0.237
ARPC3,TUBB2A,0.237
SETD1A,SRRM2,0.237
IL20RB,APP,0.237
H3-2,SELPLG,0.237
EFTUD2,CNOT11,0.237
TLR2,CDKN1A,0.237
SNRPN,POLR2H,0.237
NDUFV1,CTNNB1,0.237
NDUFV1,TIMM44,0.237
NDUFA1,LAMTOR2,0.237
IL3,CALML3,0.237
NDUFV1,TOMM5,0.237
RYR1,NUP43,0.237
STAT1,ACTG1,0.237
LSM4,GEMIN8,0.237
SNRPD3,RPS3A,0.237
TNFRSF1A,CD1B,0.237
PLXNB1,KCNE1,0.237
STUB1,KMT2A,0.237
FBL,PRPF4,0.237
TNF,SUFU,0.237
RPL8,CWC27,0.237
TNF,VAMP3,0.237
PAK4,POT1,0.237
RTF1,CUL1,0.237
RTF1,SF3B2,0.237
TRAPPC1,CDC42,0.237
PYCARD,LTBR,0.237
POU5F1,SUFU,0.237
COX7A2,RPL18,0.237
PAK4,VASP,0.237
VCL,KIT,0.237
SKIV2L,CHTF18,0.237
CX3CL1,CDH1,0.237
NPM1,CARD10,0.237
TNF,MKNK1,0.237
PLRG1,DICER1,0.237
NPM1,GSK3B,0.237
TLR8,TNFRSF18,0.237
MRPS15,NDUFA8,0.237
SNRPA1,USP10,0.237
EZH2,RNF8,0.237
SOX2,ROBO2,0.237
SNRPA1,DPY30,0.237
NDUFA7,UBL5,0.237
HSP90AA1,BRCC3,0.237
YEATS4,INTS9,0.237
SOX2,UPF1,0.237
NDUFS1,CDC42,0.237
WAPL,PRPF19,0.237
WAPL,CNOT1,0.237
ISY1-RAB43,SNRPC,0.237
EIF2S3,BRCC3,0.237
VPS26B,CPSF6,0.237
EIF2B2,RUVBL2,0.237
NUP153,TRAPPC3,0.237
CX3CL1,B2M,0.237
ARPC5L,RPL35,0.237
PRPF19,WAPL,0.237
POLR3K,RPS5,0.237
CCNE1,RPS6,0.237
IGF1,STAT2,0.237
TNFSF14,IL24,0.237
RAD51C,RPL23,0.237
PSMB3,RANBP2,0.237
EIF2B2,VAMP3,0.237
TNFSF14,SELL,0.237
NDUFA13,RPL38,0.237
PSMA6,PDHB,0.237
WAPL,TAF6,0.237
ACD,RPSA,0.237
E2F2,TAL1,0.237
PRPF19,RACK1,0.237
PRPF19,POLR2H,0.237
PSMC6,NACA,0.237
CDH5,DICER1,0.237
TRAPPC3,NUP153,0.237
MCU,PDIA3,0.237
CDH5,NOG,0.237
MCU,EIF2B4,0.237
PDIA3,MCU,0.237
VCL,LRP5,0.237
SDC1,MTOR,0.237
GLI1,JAK1,0.237
DTNBP1,MC1R,0.237
IL17RB,PIGQ,0.237
RPL37A,PGK1,0.237
NUDT21,NUP37,0.237
IL17RB,CENPT,0.237
APOA2,GAPDH,0.237
GNG13,SNAP25,0.237
PRPF19,RAD17,0.237
TRAPPC9,BRCC3,0.237
E2F1,CENPN,0.237
E2F1,STAT2,0.237
RPS18,H3C13,0.237
PRPF19,ACTB,0.237
IL20RA,TAF7,0.237
SRRT,RAE1,0.237
ITGB3,FGF6,0.237
ACIN1,SMG1,0.237
METTL3,CSTF2,0.237
AHCTF1,PDS5B,0.237
ARNTL2,HAUS1,0.237
PSMB4,RPL27A,0.237
FGFR1,NOTCH4,0.237
CYB5A,AHR,0.237
RUNX1,IFNAR1,0.237
RPAP3,RMI1,0.237
CASP3,ERCC3,0.237
UTS2R,GAPDH,0.237
RUNX1,TNFRSF1B,0.237
CCM2,MAPK1,0.237
GTPBP4,DXO,0.237
RUNX1,ATXN7,0.237
CYB5A,ECI2,0.237
BCL2,IL17RA,0.237
RUNX1,IGFBP3,0.237
LTBR,PYCARD,0.237
RPAP3,RPL10,0.237
E2F4,MAX,0.237
SNRPG,PTCD3,0.237
RSPO1,H3-5,0.237
MAX,E2F4,0.237
IGFBP3,FASLG,0.237
AP2A2,CAMK2A,0.237
MAX,SKP1,0.237
IGFBP3,TNFRSF10B,0.237
RSPO1,H3C13,0.237
AP2B1,GIT1,0.237
IL17RB,DENND1B,0.237
METTL3,CPSF1,0.237
RSPO1,H3-2,0.237
IGFBP3,RUNX1,0.237
UTP18,EIF3E,0.237
TNFRSF10B,IGFBP3,0.237
PSMD11,SF3B2,0.237
IGFBP3,HSP90AA1,0.237
AP2A2,EEF2,0.237
EIF2B5,KRR1,0.237
UBL5,NDUFA7,0.237
EIF2B5,ITFG2,0.237
CWC27,RPL8,0.237
UIMC1,CUL4A,0.237
HSPA9,NDUFS4,0.237
TOP3A,H3-5,0.237
UBL5,UBC,0.237
GSK3B,NPM1,0.237
HSPA9,NDUFB9,0.237
INTS10,NDUFS7,0.237
SNRPB,RPS11,0.237
RPL35,ARPC5L,0.237
VPS33B,DPAGT1,0.237
RPL35,HSP90AB1,0.237
CENPI,BRCC3,0.237
EXOC4,BLOC1S6,0.237
NDUFS7,INTS10,0.237
DKC1,POLR3C,0.237
DKC1,RANBP2,0.237
PSMB7,NUP43,0.237
H3-4,RFC4,0.237
PSMD7,SF3B2,0.237
RPL19,ACTL6A,0.237
PSMD14,SNRPE,0.237
NDUFS7,IFNGR2,0.237
PSMD7,EXOC7,0.237
KLRG1,TLR3,0.237
GAPDHS,COX5B,0.237
POLR2F,PES1,0.237
RPL19,KRR1,0.237
CLCNKB,GNB3,0.237
BLOC1S6,EXOC4,0.237
ITGB2,IRAK4,0.237
GIT1,AP2B1,0.237
H3-4,SYMPK,0.237
ASH2L,RAN,0.237
ARHGEF12,RRAGD,0.237
PSMD14,POLR2D,0.237
CD27,TRAF6,0.237
KAT2A,EEF2,0.237
DPY30,SNRPA1,0.237
BDP1,UBN1,0.237
CDK1,MAP3K3,0.237
BDP1,HIRA,0.237
SMG1,ACIN1,0.237
POT1,RPSA,0.237
CSF1,TIRAP,0.237
UQCRC2,TSC1,0.237
TOMM5,NDUFV1,0.237
UQCRC2,B2M,0.237
PMM2,RND1,0.237
TOMM5,NDUFS6,0.237
HAUS1,ARNTL2,0.237
AHR,CYB5A,0.237
SIRT1,TINF2,0.237
AIM2,RELA,0.237
KAT2A,CUL4B,0.237
EXOC7,PSMD7,0.237
TSEN54,TOMM70,0.237
COL1A2,PGK1,0.237
TSEN54,PWP2,0.237
TSEN54,EIF3E,0.237
NUP37,MRPS35,0.237
SUPT4H1,NUP54,0.237
CDKN1B,CNOT8,0.237
COL1A2,KIT,0.237
SUPT4H1,HSPA4,0.237
SMDT1,NDUFB6,0.237
FAAP100,NCBP1,0.237
PSMD12,RPS28,0.237
EGF,TRAF3,0.237
INO80B,RPL36A,0.237
CUL1,RTF1,0.237
NUP37,NUDT21,0.237
PDHA1,UQCR11,0.237
INO80B,GLDC,0.237
CUL4A,UIMC1,0.237
CTNNB1,NDUFV1,0.237
HLA-A,CD1A,0.237
H3C13,RPS18,0.237
CD1B,HLA-E,0.237
CD1B,TNFRSF1A,0.237
APOB,MYD88,0.237
COL1A2,CDK4,0.237
HLA-A,IL6R,0.237
H3C13,RSPO1,0.237
CD1C,HLA-G,0.237
RABEP1,VPS35,0.237
EIF3CL,SRRM2,0.237
NDUFB6,SMDT1,0.237
MC1R,BRCA2,0.237
UQCR11,PDHA1,0.237
ATXN7,RUNX1,0.237
CALML6,CARD11,0.237
RPL10,COX6B1,0.237
POT1,TPI1,0.237
APOB,IFNA10,0.237
MC1R,DTNBP1,0.237
APOB,NANOG,0.237
ARHGEF11,RRAGD,0.237
APOB,CX3CR1,0.237
NACA,PSMC6,0.237
RPL23,RAD51C,0.237
ARHGEF11,PARD3,0.237
CTNNB1,MTHFD1,0.237
RPL10,RPAP3,0.237
RANBP2,PSMB1,0.237
CTNNB1,PSMD14,0.237
FN1,IL17RC,0.237
RPL27A,H3C12,0.237
PSMD14,CPSF3,0.237
RPL27A,PSMB4,0.237
CTNNB1,EZH1,0.237
COX5B,GAPDHS,0.237
RPS8,MRPS35,0.237
CALML6,STIP1,0.237
RPS8,PRPF8,0.237
UNC93B1,IL10RA,0.237
PSMB5,BUD31,0.237
MAP2K5,HMGCR,0.237
POMP,RPL11,0.237
POMP,TMEM258,0.237
FN1,RYR2,0.237
XIAP,RPL11,0.237
JAK1,GLI1,0.237
PSMB5,DDB1,0.237
EXOC8,VPS8,0.237
CUL3,RHEB,0.237
SIN3A,LMO2,0.237
RANBP2,PSMB3,0.237
POT1,PAK4,0.237
PSMB5,PGK1,0.237
FIP1L1,SNRPC,0.237
CRK,POT1,0.237
CRK,SEMA4D,0.237
CDH1,CX3CL1,0.237
STIP1,CALML6,0.237
CRK,CALM3,0.237
RPS3A,SNRPD3,0.237
TIMM50,RIPK3,0.237
STIP1,CALML5,0.237
SIN3A,ZC3H13,0.237
CPSF6,VPS26B,0.237
RPS3A,PRPF8,0.237
TIMM50,AAR2,0.237
RANBP2,DKC1,0.237
POT1,CRK,0.237
STIP1,MAGOH,0.237
RPS6KB1,CUL5,0.237
PARD3,ARHGEF11,0.237
RRP7A,GNG2,0.237
FIP1L1,GTF2F1,0.237
CD70,HLA-B,0.237
JAK1,IRAK4,0.237
H3C13,SELPLG,0.237
CD70,TRAF3,0.237
KIT,NCL,0.237
UPF2,BUD13,0.237
RPL5,COX5A,0.237
AVPR2,BMP4,0.237
BUD31,PSMB5,0.237
RANBP2,XRN2,0.237
UPF2,EEF2,0.237
LAMTOR2,NDUFA1,0.237
LAMTOR2,TGFBRAP1,0.237
LAMTOR2,NDUFA2,0.237
STIP1,CALML4,0.237
TLR5,IFNGR2,0.237
TLR5,APOE,0.237
EIF2B3,PDHX,0.237
GTF2F2,TRAPPC2L,0.237
PSMD14,CTNNB1,0.237
NUP188,PDHX,0.237
ECI2,CYB5A,0.237
GTF2F2,CTR9,0.237
ECI2,DLD,0.237
BRCA2,MC1R,0.237
MRPS9,SHMT1,0.237
RPL11,DHX16,0.237
COX6B1,RPL10,0.237
RPL11,POMP,0.237
USP10,DCP1A,0.237
RPL11,XIAP,0.237
LUM,PTK2,0.237
ILK,AKT1S1,0.237
RND1,NFKBIA,0.237
TRADD,CCL5,0.237
RPL5,MT-CO2,0.237
KCNE2,CALML4,0.237
TSC1,UQCRC2,0.237
LOC102724788,UMPS,0.237
ILK,ACTR2,0.237
SNAPIN,TOMM22,0.237
EEF2,UPF2,0.237
RAN,SF3A2,0.237
RND1,PMM2,0.237
HIF1A,DDB1,0.237
RAN,ASH2L,0.237
KIT,SKP2,0.237
IFNA10,APOB,0.237
NDUFV3,TAF13,0.237
UQCRFS1,POLR2L,0.237
ACTL6A,SRRM2,0.237
ACTL6A,RPL19,0.237
SEC13,ADRM1,0.237
EMC8,CYC1,0.237
RPL5,HLA-B,0.237
USP10,SNRPA1,0.237
